date,hour,u10,v10,blh,sp,tp,z,z850,z500,t500,t2m,t850,u850,v850,u500,v500
2025-01-02,04:00,-0.16938794,-0.77988815,19.228287,100788.56,2.293712e-06,1411.3127,14937.738,55191.25,253.75502,277.65723,272.30145,3.9763765,3.7272513,9.07464,-0.92835045
2025-01-02,05:00,-0.49674094,-1.0668879,26.446423,100755.44,4.7777394e-06,1411.3127,14908.118,55157.484,253.3964,277.55444,272.25195,4.6290145,4.3742385,10.045563,-0.6096897
2025-01-02,06:00,-0.81647015,-0.9572487,33.29379,100713.44,1.0311047e-05,1411.3127,14875.389,55135.08,253.31972,277.48462,272.13495,5.255028,5.082343,11.547501,-0.7513876
2025-01-02,07:00,-1.404891,-1.0045147,37.38914,100674.5,3.8154933e-05,1411.3127,14844.667,55132.04,253.96733,277.4602,272.15552,5.7252464,5.756027,13.025734,-1.3001556
2025-01-02,08:00,-1.0597534,-1.3051262,41.818817,100668.94,5.3976197e-05,1411.3127,14843.048,55116.895,253.74677,277.37695,272.22412,6.1019616,5.974931,14.462516,-0.88866234
2025-01-02,09:00,-1.2169809,-0.6261349,61.44606,100635.19,2.8233859e-05,1411.3127,14818.088,55120.32,253.58646,277.69922,272.30737,5.8659253,6.686617,15.673087,-0.7975502
2025-01-02,10:00,-0.9803734,-1.5015221,92.006195,100684.06,1.3740394e-05,1411.3127,14825.553,55076.94,254.33801,278.9524,270.71353,6.2469463,8.306118,19.01123,-1.0592575
2025-01-02,11:00,-1.4369564,0.11992091,81.35289,100545.375,8.680808e-06,1411.3127,14715.18,54988.387,254.3477,279.26562,271.14642,5.339376,9.654753,19.490952,-1.9561214
2025-01-02,12:00,-0.49987698,0.10414964,68.319016,100473.56,5.341447e-06,1411.3127,14663.277,54913.137,253.95456,279.94995,271.09473,5.7911963,9.501229,19.896347,-1.760004
2025-01-02,13:00,-0.68311214,-0.09048557,90.55156,100346.44,4.7695758e-06,1411.3127,14569.111,54846.195,253.90553,280.06006,271.88055,5.6916633,8.1350975,21.130875,-3.339243
2025-01-02,14:00,-0.6846132,0.04377526,90.35976,100189.625,3.4339719e-06,1411.3127,14447.318,54804.5,254.28172,279.94507,272.2887,5.956223,8.219983,21.498474,-3.9931583
2025-01-02,15:00,0.021111488,-0.6972437,65.73126,100154.375,2.4799253e-06,1411.3127,14428.797,54766.78,253.96559,280.0426,272.4995,6.5937114,7.559343,22.045547,-2.7419796
2025-01-02,16:00,0.17090559,-1.0944519,42.118164,100062.56,2.4827634e-06,1411.3127,14363.519,54713.906,253.8559,279.59155,272.92615,7.2103367,7.2658515,23.986786,-2.9363518
2025-01-02,17:00,0.1640212,-1.5388489,47.572464,99995.19,2.0033385e-06,1411.3127,14321.348,54655.496,253.66235,277.94824,273.4215,8.106726,6.841299,25.25505,-4.131912
2025-01-02,18:00,-0.11167812,-1.0305796,36.201675,99915.94,4.2920747e-06,1411.3127,14266.072,54612.234,253.59421,278.1399,273.49268,8.361918,7.2722373,27.761429,-5.2130327
2025-01-02,19:00,0.1633259,-1.0037298,28.198013,99845.31,1.6402786e-05,1411.3127,14212.139,54557.145,253.83148,278.13757,273.3819,8.190439,6.834832,29.689148,-4.1796017
2025-01-02,20:00,0.19282973,-0.94614506,26.40364,99776.5,1.9459774e-05,1411.3127,14156.925,54497.164,253.9557,278.2245,273.41187,7.9143777,5.878243,31.341125,-3.4816732
2025-01-02,21:00,0.4494506,-1.2961731,34.89946,99731.69,1.5948885e-05,1411.3127,14126.549,54437.387,253.71933,277.77673,273.5069,8.003216,4.841535,33.30655,-3.9079866
2025-01-02,22:00,0.4862995,-1.7423,50.90193,99678.44,2.337264e-05,1411.3127,14118.201,54404.223,253.39223,277.71155,273.43365,9.046337,2.6178155,34.804474,-4.4012556
2025-01-02,23:00,0.3116153,-0.41438103,39.289856,99614.31,2.1557596e-05,1411.3127,14071.634,54310.52,253.41023,277.75476,274.8103,8.34306,4.0687284,35.64041,-6.602125
2025-01-03,00:00,0.9974353,-0.78725624,44.58795,99573.875,1.4117445e-05,1411.3127,14042.228,54214.28,253.30066,277.8783,274.74915,7.9113984,3.1820154,36.611847,-7.241253
