Datetime,HS,ES
03/03/2025 10:00,5.180594758,4.555080751
03/03/2025 11:00,5.152131747,4.539697987
03/03/2025 12:00,5.118787262,4.549157828
03/03/2025 13:00,5.059914076,4.543187416
03/03/2025 14:00,5.031370831,4.501582941
06/03/2025 12:00,5.082611557,4.520159458
06/03/2025 13:00,5.019830817,4.504079757
06/03/2025 14:00,5.004120086,4.483948761
06/03/2025 15:00,4.966705446,4.508440401
06/03/2025 16:00,5.023277488,4.573149191
06/03/2025 17:00,5.077818051,4.60879274
06/03/2025 18:00,5.342172018,4.667242734
06/03/2025 19:00,5.288144256,5.076038957
06/03/2025 20:00,5.134458048,5.159776739
06/03/2025 21:00,5.148095179,5.15913279
06/03/2025 22:00,5.138650668,5.17039405
06/03/2025 23:00,5.139848475,5.171505397
07/03/2025 04:00,5.045145413,5.170208001
07/03/2025 05:00,5.039357901,5.166318128
07/03/2025 06:00,5.177550045,5.123112588
07/03/2025 07:00,5.073162942,4.704432438
07/03/2025 08:00,5.178211502,4.520479419
07/03/2025 09:00,5.180323677,4.527313282
07/03/2025 10:00,5.151008648,4.53594939
07/03/2025 11:00,5.109578116,4.527838027
11/03/2025 16:00,4.876823893,4.533209718
11/03/2025 17:00,4.887671429,4.531375483
11/03/2025 18:00,4.950954447,4.548067488
11/03/2025 19:00,5.061496467,5.130441417
11/03/2025 21:00,4.895414746,5.160862152
11/03/2025 22:00,4.887372409,5.159080451
11/03/2025 23:00,4.840648374,5.168617963
12/03/2025 04:00,4.896901567,5.171598135
12/03/2025 05:00,4.71698311,5.201534348
12/03/2025 06:00,4.838857072,5.177056822
12/03/2025 07:00,4.639124106,4.456194566
12/03/2025 08:00,4.803831205,4.62614006
12/03/2025 09:00,5.091860305,4.698517644
12/03/2025 10:00,4.904847684,4.632816245
12/03/2025 11:00,4.950769116,4.680945963
12/03/2025 12:00,4.972179799,4.60712333
12/03/2025 13:00,4.959203861,4.616570538
12/03/2025 14:00,4.9799904,4.636064799
12/03/2025 15:00,4.790190063,4.540976355
24/03/2025 15:00,5.063262493,4.918428588
24/03/2025 16:00,5.138029676,4.858702164
24/03/2025 17:00,5.178322228,4.735719023
24/03/2025 18:00,5.165394526,4.720247645
24/03/2025 19:00,5.272960277,4.686504583
24/03/2025 20:00,5.283541083,5.192096775
24/03/2025 21:00,5.253196939,5.174032329
24/03/2025 22:00,5.221659068,5.164546913
24/03/2025 23:00,5.206344001,5.16755014
25/03/2025 04:00,5.166875811,5.164527703
25/03/2025 05:00,5.174685787,5.158730626
25/03/2025 06:00,5.164408238,4.793225233
25/03/2025 07:00,5.21925991,4.578036598
25/03/2025 08:00,5.262098614,4.605499015
25/03/2025 09:00,5.252720425,4.569480895
25/03/2025 10:00,5.218720298,4.543375372
25/03/2025 11:00,5.170361977,4.592867857
25/03/2025 12:00,4.970521635,4.739400977
25/03/2025 13:00,4.954310514,4.72980256
25/03/2025 14:00,4.990546056,4.679250243
25/03/2025 15:00,4.999968961,4.664151792
25/03/2025 16:00,5.082953273,4.692620899
27/03/2025 10:00,5.182933757,4.609098167
27/03/2025 11:00,5.080194051,4.619578763
27/03/2025 12:00,5.0463485,4.62843798
27/03/2025 13:00,4.934333491,4.599798407
27/03/2025 14:00,4.923893827,4.681409974
27/03/2025 15:00,5.067066698,4.735819725
27/03/2025 16:00,5.041571395,4.722987679
27/03/2025 17:00,5.063654639,4.7055577
27/03/2025 18:00,5.134801236,4.725701363
27/03/2025 19:00,5.273290157,4.695307959
27/03/2025 20:00,5.108756729,5.186456079
27/03/2025 21:00,5.123777916,5.19210609
27/03/2025 22:00,5.113150236,5.197587301
27/03/2025 23:00,5.151141889,5.168474545
28/03/2025 04:00,5.166674246,5.169315434
28/03/2025 05:00,5.183802958,5.158732555
28/03/2025 06:00,5.133333787,4.574608904
28/03/2025 07:00,5.178209247,4.636281376
28/03/2025 08:00,5.205601071,4.642079902
28/03/2025 09:00,5.215984761,4.650648281
01/04/2025 16:00,4.872404612,4.612131377
01/04/2025 18:00,5.082689419,4.675487662
01/04/2025 19:00,5.083835855,4.666903308
01/04/2025 20:00,5.125629742,4.738056379
01/04/2025 21:00,5.162912062,5.172589994
01/04/2025 22:00,5.157488651,5.161588895
01/04/2025 23:00,5.14147499,5.166464041
02/04/2025 04:00,5.070896832,5.154201632
02/04/2025 05:00,5.073755804,5.142185105
02/04/2025 06:00,5.084881246,5.155493466
02/04/2025 07:00,5.03662381,4.762051894
02/04/2025 08:00,5.102002118,4.599268261
02/04/2025 09:00,5.033522405,4.570707752
02/04/2025 10:00,5.024415011,4.59424754
02/04/2025 11:00,4.949164964,4.624363952
02/04/2025 12:00,5.011411204,4.631506052
02/04/2025 13:00,4.947211112,4.610863475
02/04/2025 14:00,4.896050401,4.631727898
02/04/2025 15:00,5.001949962,4.761549488
07/04/2025 09:00,4.924090821,4.684152091
07/04/2025 10:00,4.968574768,4.604482446
07/04/2025 11:00,5.21895817,4.614605299
07/04/2025 12:00,5.186640503,4.565572004
07/04/2025 13:00,5.168631453,4.683081098
07/04/2025 14:00,5.02126672,4.848212325
07/04/2025 15:00,5.045562852,4.784552238
07/04/2025 16:00,5.083724264,4.650634843
07/04/2025 17:00,5.07937454,4.576096541
07/04/2025 18:00,5.127806007,4.526582009
07/04/2025 19:00,5.168822547,4.536778509
07/04/2025 20:00,5.190302077,4.569125872
07/04/2025 21:00,5.206573029,5.146588727
07/04/2025 22:00,5.16535109,5.169473574
07/04/2025 23:00,5.137476185,5.177607933
08/04/2025 04:00,5.08817786,5.170971212
08/04/2025 05:00,5.115705338,5.140238996
08/04/2025 06:00,5.125199976,5.137035735
08/04/2025 07:00,5.074415081,4.609362512
08/04/2025 08:00,4.986181752,4.573622662
21/04/2025 15:00,5.044320061,4.705322151
