Datetime,HS
27/03/2025 10:00,5.182933757
27/03/2025 11:00,5.080194051
27/03/2025 12:00,5.0463485
27/03/2025 13:00,4.934333491
27/03/2025 14:00,4.923893827
27/03/2025 15:00,5.067066698
27/03/2025 16:00,5.041571395
27/03/2025 17:00,5.063654639
27/03/2025 18:00,5.134801236
27/03/2025 19:00,5.273290157
27/03/2025 20:00,5.108756729
27/03/2025 21:00,5.123777916
27/03/2025 22:00,5.113150236
27/03/2025 23:00,5.151141889
28/03/2025 04:00,5.166674246
28/03/2025 05:00,5.183802958
28/03/2025 06:00,5.133333787
28/03/2025 07:00,5.178209247
28/03/2025 08:00,5.205601071
28/03/2025 09:00,5.215984761
01/04/2025 16:00,4.872404612
01/04/2025 18:00,5.082689419
01/04/2025 19:00,5.083835855
01/04/2025 20:00,5.125629742
01/04/2025 21:00,5.162912062
01/04/2025 22:00,5.157488651
01/04/2025 23:00,5.14147499
02/04/2025 04:00,5.070896832
02/04/2025 05:00,5.073755804
02/04/2025 06:00,5.084881246
02/04/2025 07:00,5.03662381
02/04/2025 08:00,5.102002118
02/04/2025 09:00,5.033522405
02/04/2025 10:00,5.024415011
02/04/2025 11:00,4.949164964
02/04/2025 12:00,5.011411204
02/04/2025 13:00,4.947211112
02/04/2025 14:00,4.896050401
02/04/2025 15:00,5.001949962
07/04/2025 09:00,4.924090821
07/04/2025 10:00,4.968574768
07/04/2025 11:00,5.21895817
07/04/2025 12:00,5.186640503
07/04/2025 13:00,5.168631453
07/04/2025 14:00,5.02126672
07/04/2025 15:00,5.045562852
07/04/2025 16:00,5.083724264
07/04/2025 17:00,5.07937454
07/04/2025 18:00,5.127806007
07/04/2025 19:00,5.168822547
07/04/2025 20:00,5.190302077
07/04/2025 21:00,5.206573029
07/04/2025 22:00,5.16535109
07/04/2025 23:00,5.137476185
08/04/2025 04:00,5.08817786
08/04/2025 05:00,5.115705338
08/04/2025 06:00,5.125199976
08/04/2025 07:00,5.074415081
08/04/2025 08:00,4.986181752
21/04/2025 15:00,5.044320061
21/04/2025 16:00,5.067712171
21/04/2025 17:00,5.147266951
21/04/2025 18:00,5.242449642
21/04/2025 19:00,5.219906097
21/04/2025 20:00,5.152911337
21/04/2025 21:00,5.33339061
21/04/2025 22:00,5.246456869
21/04/2025 23:00,5.237034384
22/04/2025 04:00,5.242901233
22/04/2025 05:00,5.250265856
22/04/2025 06:00,5.234684306
22/04/2025 07:00,5.253109447
22/04/2025 08:00,5.246418061
22/04/2025 09:00,5.245074343
22/04/2025 10:00,5.228051675
22/04/2025 11:00,5.202088694
22/04/2025 12:00,5.147731369
22/04/2025 13:00,5.080935853
22/04/2025 14:00,5.009793953
28/04/2025 11:00,5.183508958
28/04/2025 12:00,5.132966821
28/04/2025 13:00,5.107286573
28/04/2025 14:00,5.082300274
28/04/2025 15:00,5.037815616
28/04/2025 16:00,5.070637768
28/04/2025 17:00,5.067863775
28/04/2025 18:00,5.119920241
28/04/2025 19:00,5.150260113
28/04/2025 20:00,5.248677126
28/04/2025 21:00,5.251444049
28/04/2025 22:00,5.104122478
28/04/2025 23:00,5.112195437
29/04/2025 04:00,5.070199874
29/04/2025 05:00,5.073956597
29/04/2025 06:00,5.015824892
29/04/2025 07:00,5.117874517
29/04/2025 08:00,5.211261191
29/04/2025 09:00,5.19578649
29/04/2025 10:00,5.163567908
29/04/2025 17:00,5.120631149
29/04/2025 18:00,5.13856463
29/04/2025 19:00,5.102948543
