date,hour,R_S_M,G_S_M,B_S_M,R_G_M,G_G_M,B_G_M,PM25
2025-01-29,16:00,134.7280414244186,167.82196705426355,193.56872698643411,27.682797916666665,34.44558125,46.296553125,18.980612
2025-01-29,18:00,107.3467659883721,141.62480256782945,168.28247456395349,48.16931666666667,42.88812395833333,29.879635416666662,16.435827
2025-01-29,20:00,82.94251937984497,106.81683624031008,125.2431128875969,67.931325,80.72725416666667,75.525925,28.719219
2025-01-29,17:00,138.31648498062015,171.61884205426355,192.9394089147287,28.673178125,29.896845833333337,38.26845625,13.286428
2025-01-29,19:00,64.48199249031008,89.94516230620155,113.78747214147286,72.88824166666667,85.58970208333334,75.67375,28.360449
2025-01-29,23:00,76.88694404069767,96.97892562984497,117.81447432170545,69.80805729166667,83.71394895833333,84.56002604166666,26.733086
2025-01-29,22:00,77.70342054263566,99.47487160852714,120.71618217054264,70.01827708333333,83.75932291666666,83.40155520833333,29.418736
2025-01-29,21:00,78.10773255813953,101.141023498062,121.16016109496124,68.31076041666667,80.90196354166666,77.09485625,21.407717
2025-01-30,12:00,138.25798449612404,172.3622008236434,200.6870966569767,44.65168229166667,53.805915625,60.93310833333334,30.990562
2025-01-30,05:00,90.45030281007752,110.48481104651162,129.15688953488373,63.942696875,79.01755208333333,83.25891145833333,26.051764
2025-01-30,06:00,93.9434375,114.22103076550388,133.12147044573643,64.09970416666667,78.504084375,82.2631125,32.4175
2025-01-30,11:00,133.07050145348836,167.19250726744187,195.75031371124032,42.706509375,51.612658333333336,58.42511875,22.967737
2025-01-30,13:00,145.3529554263566,176.72280523255813,200.2425133236434,35.078434375,46.696378125,57.3273375,24.481997
2025-01-30,10:00,140.4146281492248,175.380191375969,204.9659484011628,45.291217708333335,54.13565,60.69435,23.924891
2025-01-30,14:00,164.26944282945738,196.7293011143411,218.6120906007752,35.065809375,47.230776041666665,61.40388229166667,27.99847
2025-01-30,07:00,88.38723837209302,110.40888323643412,131.06027131782946,66.7321,80.63862604166667,80.591828125,27.820152
2025-01-30,08:00,129.75833938953488,166.0031371124031,198.45116157945736,42.61131666666667,50.754420833333334,57.92738020833333,26.367847
2025-01-30,04:00,92.23880813953488,111.14991157945737,128.1765261627907,64.74238333333334,79.45811354166666,83.18812083333333,24.013199
2025-01-30,15:00,171.94743943798449,202.83734132751937,221.79657945736432,35.55335625,45.02070729166667,54.827646875,20.972424
2025-01-30,09:00,136.85434714147286,173.28484738372094,205.17031855620155,47.3104625,55.7689,61.79498125,25.666552
2025-02-03,17:00,135.12911821705427,169.57998425387598,195.72984859496125,31.670470833333333,35.77031041666667,46.589809375,26.622799
2025-02-03,16:00,128.4599878875969,162.41393774224807,188.87435683139535,32.06721770833333,39.542475,52.40394375,28.315659
2025-02-03,15:00,131.37614825581394,168.23330668604652,199.87560562015503,36.90196145833333,45.07867708333333,53.130597916666666,29.760019
2025-02-03,20:00,64.417621124031,86.94643774224807,111.52345324612403,72.92356979166667,88.19096770833333,87.418034375,34.721508
2025-02-03,21:00,62.32602955426356,86.70431322674419,113.87847868217054,74.62486458333333,89.36143020833333,86.20091770833334,41.231602
2025-02-03,14:00,138.53666303294574,174.48242005813952,206.1616097383721,36.69039166666666,47.366725,57.10093645833334,26.348431
2025-02-03,18:00,128.27939680232558,158.7316230620155,179.73671148255815,21.790780208333334,34.44192291666667,45.139046875,35.760368
2025-02-03,19:00,72.68757388565892,94.29874273255814,115.22394864341084,69.09858229166667,85.34171458333333,87.81820625,35.548656
2025-02-03,23:00,70.07882388565892,90.80763444767442,115.7909617248062,72.59684270833333,87.39566458333333,88.274153125,34.699486
2025-02-03,22:00,69.66542272286821,92.32101744186046,119.77161579457363,73.88259791666667,88.78266875,88.28047395833333,48.021748
2025-02-04,07:00,80.42613493217054,112.25264171511628,149.7117938468992,70.257784375,81.70193645833334,72.328084375,45.773438
2025-02-04,06:00,84.55214874031007,103.67267441860466,123.97634205426355,66.32360520833333,81.85257708333333,86.48104479166666,46.251305
2025-02-04,10:00,133.52572311046512,168.41720809108526,197.28020106589148,41.54415625,50.691738541666666,57.213005208333335,31.408522
2025-02-04,08:00,143.80666303294575,178.37463662790697,207.72181928294577,40.68777291666667,50.463114583333336,61.202278125,47.044754
2025-02-04,09:00,138.26507025193797,176.15019016472868,207.3355644379845,44.781784375,51.969647916666666,57.93481979166667,32.931328
2025-02-04,11:00,136.18297965116278,169.63204215116278,197.0518507751938,37.17042395833333,47.235188541666666,54.5769875,25.335278
2025-02-04,13:00,137.14687015503876,168.5716097383721,193.5983418120155,19.73001354166667,27.327376041666668,39.54207708333333,31.802715
2025-02-04,05:00,91.87905644379843,111.3594815891473,131.68476744186046,64.102575,80.13036145833334,86.14028125,48.623432
2025-02-04,12:00,145.22087693798449,177.44691497093024,204.48043120155037,34.15061145833333,44.35893854166667,52.74358333333333,29.8958
2025-02-04,04:00,92.40275920542636,111.10913154069767,131.8126695736434,64.944834375,81.71740833333334,89.55154479166667,48.369362
2025-02-05,18:00,129.69890625,163.31892078488372,192.41630087209305,18.9463625,32.35904791666667,49.36811770833334,47.07317
2025-02-05,16:00,141.3555111434109,173.91852349806203,199.9251453488372,33.74126875,43.565425,56.426840625,50.149879
2025-02-05,19:00,68.13276041666667,88.85214874031007,112.63676235465115,71.1153,85.92948645833333,84.446634375,53.311874
2025-02-05,17:00,134.9689910368217,169.34861312984495,196.6156904069767,29.924376041666665,35.52613958333333,50.652925,47.170921
2025-02-05,20:00,65.74544937015504,88.09218265503876,113.58875968992248,72.31632604166667,87.55498333333334,86.7753625,53.524803
