Date,Hour,R_S_M,G_S_M,B_S_M,R_G_M,G_G_M,B_G_M,PM25,T2M,U_10,V_10,TP,SP,GP,BLH,T_500,U_500,V_500,GP_500,T_850,U_850,V_850,GP_850
30/01/2025,15:00,171.9474394,202.8373413,221.7965795,35.55335625,45.02070729,54.82764688,20.972424,284.1599,0.6047157,-0.39577103,0,100284.75,1411.3127,374.66986,248.40724,9.837368,6.242318,54517.633,273.3447,0.8556516,2.2538033,14619.568
03/02/2025,14:00,138.536663,174.4824201,206.1616097,36.69039167,47.366725,57.10093646,26.348431,285.79492,-0.112976074,0.7828903,0,100456.375,1411.3127,427.19882,251.5384,-13.006271,-4.869734,55388.582,278.2699,0.20501041,-0.6060953,14909.116
03/02/2025,15:00,131.3761483,168.2333067,199.8756056,36.90196146,45.07867708,53.13059792,29.760019,285.37378,-0.33258343,1.3614528,0,100450.31,1411.3127,400.88504,252.04494,-12.362921,-5.7828913,55428.402,278.24725,0.41024494,-0.40668583,14905.042
03/02/2025,16:00,128.4599879,162.4139377,188.8743568,32.06721771,39.542475,52.40394375,28.315659,283.6914,-0.63534737,1.7272229,0,100485.81,1411.3127,95.28285,252.12569,-11.343152,-7.0536327,55473.594,278.08914,0.62495804,-0.5052719,14928.272
03/02/2025,17:00,135.1291182,169.5799843,195.7298486,31.67047083,35.77031042,46.58980938,26.622799,281.7119,-1.6302328,1.6480465,0,100530.94,1411.3127,55.189407,251.99333,-9.8310995,-8.517342,55498.92,277.85883,0.6997614,-0.53587914,14952.98
03/02/2025,18:00,128.2793968,158.7316231,179.7367115,21.79078021,34.44192292,45.13904688,35.760368,280.43408,-2.1818314,0.62503934,0,100620,1411.3127,56.751217,251.77608,-7.7043066,-10.140329,55545.83,277.57385,0.5717907,-0.5065861,15008.928
03/02/2025,19:00,72.68757389,94.29874273,115.2239486,69.09858229,85.34171458,87.81820625,35.548656,279.4933,-2.3835554,-0.04987049,0,100679.375,1411.3127,69.00876,251.49115,-5.6472235,-11.614907,55566.85,277.27142,0.46333694,-0.37160587,15035.939
03/02/2025,20:00,64.41762112,86.94643774,111.5234532,72.92356979,88.19096771,87.41803438,34.721508,278.6621,-2.2689915,-0.5946379,0,100724.375,1411.3127,72.47094,251.22797,-4.077524,-12.310566,55572.555,276.96454,0.70700455,-0.41188622,15050.5
03/02/2025,21:00,62.32602955,86.70431323,113.8784787,74.62486458,89.36143021,86.20091771,41.231602,277.78027,-1.9803638,-0.9767952,0,100792.75,1411.3127,71.89398,251.12793,-3.2532902,-12.365082,55599.465,276.7978,1.1454954,-0.8566532,15089.012
03/02/2025,22:00,69.66542272,92.32101744,119.7716158,73.88259792,88.78266875,88.28047396,48.021748,277.22192,-1.435565,-1.4842958,0,100780.31,1411.3127,56.793983,251.26337,-3.219574,-13.089801,55590.875,277.33588,1.9664441,-1.3585548,15071.751
03/02/2025,23:00,70.07882389,90.80763445,115.7909617,72.59684271,87.39566458,88.27415313,34.699486,276.57788,-0.9048672,-1.9250917,0,100838.56,1411.3127,73.75858,251.58337,-3.1104069,-13.141216,55593.668,275.90198,1.2359946,-0.49709988,15089.902
04/02/2025,04:00,92.40275921,111.1091315,131.8126696,64.94483438,81.71740833,89.55154479,48.369362,275.2649,-1.597291,-0.888567,1.91E-06,100879.31,1411.3127,48.720306,251.55263,-8.600487,-11.782924,55602.18,275.67688,1.068028,-1.9165382,15062.249
04/02/2025,05:00,91.87905644,111.3594816,131.6847674,64.102575,80.13036146,86.14028125,48.623432,275.83716,-1.2628765,-0.87291527,1.33E-06,100917,1411.3127,61.89689,251.78503,-9.286019,-10.69332,55639.082,275.64545,0.5699674,-2.479249,15079.271
04/02/2025,06:00,84.55214874,103.6726744,123.9763421,66.32360521,81.85257708,86.48104479,46.251305,276.05273,-1.4031801,-1.1507473,8.57E-07,100931.75,1411.3127,65.997055,251.88222,-9.233468,-9.515826,55653.652,275.61346,-0.12099713,-2.5098696,15084.979
04/02/2025,07:00,80.42613493,112.2526417,149.7117938,70.25778438,81.70193646,72.32808438,45.773438,275.95312,-1.310833,-1.337018,8.01E-06,100985.375,1411.3127,46.943214,252.05432,-9.009661,-8.714117,55699.438,275.40338,-0.7462187,-2.1113138,15126.027
04/02/2025,08:00,143.806663,178.3746366,207.7218193,40.68777292,50.46311458,61.20227813,47.044754,277.26245,-1.1808376,-1.0688696,0,101056,1411.3127,83.97233,252.3324,-8.788144,-7.985816,55752.39,275.23593,-1.3233042,-1.498188,15178.875
04/02/2025,09:00,138.2650703,176.1501902,207.3355644,44.78178438,51.96964792,57.93481979,32.931328,278.74622,-1.3131456,-0.5295248,0,101119.625,1411.3127,219.00111,252.52875,-8.590652,-7.0532207,55801.65,275.27747,-1.6479301,-1.0446968,15226.377
04/02/2025,10:00,133.5257231,168.4172081,197.2802011,41.54415625,50.69173854,57.21300521,31.408522,279.55884,-1.6008654,-0.29125023,5.82E-06,101152.81,1411.3127,298.45837,252.95572,-9.916744,-7.1062956,55831.555,276.08496,-2.075554,-2.3376465,15227.106
04/02/2025,11:00,136.1829797,169.6320422,197.0518508,37.17042396,47.23518854,54.5769875,25.335278,280.3861,-1.5791445,-0.62615204,7.63E-07,101224.875,1411.3127,426.09323,253.11115,-9.707646,-5.7178783,55863.953,274.562,-2.913988,-0.8742714,15265.364
04/02/2025,12:00,145.2208769,177.446915,204.4804312,34.15061146,44.35893854,52.74358333,29.8958,281.34082,-1.7207603,0.13060093,0,101176.81,1411.3127,542.7396,253.24925,-8.943882,-5.4589033,55861.367,274.8633,-3.5603914,-0.55455303,15256.033
04/02/2025,13:00,137.1468702,168.5716097,193.5983418,19.73001354,27.32737604,39.54207708,31.802715,282.23254,-1.4217529,-0.12598419,0,101142.375,1411.3127,555.3938,253.36157,-8.302997,-5.576536,55867,275.19614,-3.3829412,-0.14721394,15258.45
05/02/2025,16:00,141.3555111,173.9185235,199.9251453,33.74126875,43.565425,56.42684063,50.149879,282.0874,0.05870247,1.1207142,0,101445.75,1411.3127,43.04126,252.77516,-0.6359167,-0.45301914,56398.938,279.20056,-2.1904716,1.9020542,15692.285
05/02/2025,17:00,134.968991,169.3486131,196.6156904,29.92437604,35.52613958,50.652925,47.170921,279.29614,0.4218464,0.5603113,0,101496.25,1411.3127,16.565327,252.65184,-0.3390875,-1.51196,56425.2,279.1277,-2.0378342,1.8298582,15738.551
05/02/2025,18:00,129.6989063,163.3189208,192.4163009,18.9463625,32.35904792,49.36811771,47.07317,278.8999,0.5619005,-0.14701462,0,101532.375,1411.3127,16.124672,252.396,-0.41409874,-2.542242,56435.688,279.09122,-1.7966347,1.8657858,15771.691
05/02/2025,19:00,68.13276042,88.85214874,112.6367624,71.1153,85.92948646,84.44663438,53.311874,278.37646,0.67703295,-0.66706944,0,101553.75,1411.3127,19.734259,252.17651,-0.62197495,-2.9248323,56435.51,279.04156,-1.5963335,1.7901831,15789.826
05/02/2025,20:00,65.74544937,88.09218266,113.5887597,72.31632604,87.55498333,86.7753625,53.524803,277.3706,0.71600235,-0.7923336,0,101581.69,1411.3127,18.92804,251.98535,-0.713891,-2.753295,56432.344,278.93048,-1.5548573,1.3022358,15811.8125
05/02/2025,21:00,64.48236676,87.2270579,112.4664147,73.97459479,89.34568438,88.15044792,45.418583,276.6858,0.66659755,-0.56093884,0,101588.06,1411.3127,16.240055,251.83734,-0.59222317,-2.3508568,56408.383,278.8152,-1.851634,0.88879216,15813.504
05/02/2025,22:00,68.93778464,90.56409763,116.0372553,74.62735208,90.11354896,91.70033854,52.627319,274.7129,0.48650146,-0.86987114,0,101630.81,1411.3127,18.744516,251.60126,-0.17151642,-2.9655018,56387.07,278.8631,-0.5657673,1.3989372,15776.964
05/02/2025,23:00,71.30149952,91.42298571,113.1768895,73.25825,89.20445104,92.44560625,51.288532,274.28638,0.5413334,-0.36637115,0,101643,1411.3127,15.242282,251.65143,0.4007845,-3.0942326,56369.066,278.04407,-1.5909548,1.7259145,15778.289
06/02/2025,04:00,72.18826066,90.75656008,109.0581444,72.93670104,90.67030521,98.18534063,67.682693,273.24927,0.476448,-0.9391403,0,101589.06,1411.3127,31.708979,251.62875,2.1990452,-1.791769,56129.836,276.88315,-2.756033,2.7852259,15701.623
06/02/2025,05:00,70.63022408,89.60297238,109.4056214,72.91458333,90.51057813,97.74388854,70.230759,273.2019,0.43673885,-0.8418989,0,101587.44,1411.3127,33.543423,251.50949,2.2215085,-1.366725,56097.715,276.41873,-2.79428,2.5736575,15690.514
06/02/2025,06:00,71.09324734,89.22109375,109.2128585,73.89358333,90.81797083,96.13162083,63.139137,273.05664,0.44482738,-0.72062874,0,101583.69,1411.3127,43.281578,251.34943,2.3665903,-0.42685127,56059.082,275.9796,-2.729828,2.3019898,15672.494
06/02/2025,07:00,79.58604288,115.6836483,152.1654542,72.76490313,81.58122813,70.3279625,69.793945,273.09912,0.23202252,-0.73573685,0,101608.375,1411.3127,44.161884,251.17668,2.869955,0.20774937,56043.047,275.599,-2.8181477,1.913075,15674.101
