time,R_roi,G_roi,B_roi,R_std,G_std,B_std,S_mean,V_mean,colorfulness,sky_brightness,contrast,gray_entropy,laplacian_variance,mean_gradient_magnitude,local_contrast,B_R_ratio,dark_pixel_ratio,sky_luminance_gradient,image_path,PM25,Unit,T2M,D2M,RH,U10,V10,SP,TP,BLH,TCC,CBH,WS10,GP_500,GP_850,T_500,T_850,U_500,U_850,V_500,V_850,temperature_mean,wind_direction_mean,relative_humidity_mean,wind_speed_mean,wind_gust_max
2025-01-29 15:00:00,72.89029126213592,102.64311190597854,127.90583035258048,33.593959824738924,41.34728319512703,45.609731542539954,0.4450590736087905,0.5016272606129829,36.7423493355912,0.6126248459526885,38.97953428785703,7.058168676602232,1438.9386243886256,4.961616867465581,10.883451986562,1.7547718136811932,0.1983035258048032,24.746829498725297,data/raw/images/20250129-1600.jpg,18.980612,ug.m-3,284.4485,280.35266,75.90696894570041,-0.46336365,-0.62864685,99839.11,0.0,444.831,0.6465149,1189.454,0.7809626970324799,53943.992,14193.004,247.45845,274.20013,10.128586,0.5580597,-10.743362,4.637741,11.5,100.0,67.6,1.2,3.4
2025-01-29 16:00:00,77.45636688809402,108.50577414409813,131.5828002043945,37.26365675221702,48.40777631478801,57.14753013775504,0.4091422340532553,0.5175899486007994,48.52168876117976,0.6921326961034797,44.98522239686417,7.000932581873837,1500.8965309503828,5.284602180105006,11.23014734132917,1.698798998611712,0.2366479305058763,17.01732980515664,data/raw/images/20250129-1700.jpg,13.286428,ug.m-3,283.46292,281.13837,85.50752048429781,-1.5558319,-0.6504364,99869.84,0.0,91.133156,0.0836792,1189.9321,1.6863215623073111,54025.516,14221.18,248.11633,274.1458,9.682327,0.8608551,-9.7078705,5.492218,10.8,91.0,70.2,2.0,3.9
2025-01-29 17:00:00,61.86531936637711,81.2099386816556,99.88921819110884,36.11717129642757,39.6797884185198,46.47677021808713,0.439677296119343,0.4095173484825714,45.04035796321433,0.5051909385113269,37.64687110697945,7.040461040406971,4203.7787166928165,11.748290941715744,21.47125135019776,1.6146237924502391,0.2101992846193152,34.354465436518765,data/raw/images/20250129-1800.jpg,16.435827,ug.m-3,281.49207,279.9442,89.9808277964445,-1.5817566,-1.0268555,99920.37,0.0,49.941597,0.10720825,1087.4126,1.885838317439703,54106.773,14259.086,248.66397,274.00095,8.30069,1.5336151,-7.7693024,5.330841,10.0,107.0,73.5,1.3,3.3
2025-01-29 18:00:00,76.28597342871743,96.94593254982117,117.473484925907,40.91055028553906,39.854580639077845,42.49636513436795,0.3845571318417558,0.4675378680854047,33.8988343044287,0.4600160309397137,39.7453207001998,6.890734403748098,3863.428671752407,11.354736516784149,21.494355140956625,1.539909345140183,0.0767756770567194,28.61041695083041,data/raw/images/20250129-1900.jpg,28.360449,ug.m-3,280.4607,279.20795,91.75480880560735,-1.4403687,-1.0913849,99947.73,0.0,55.804794,0.17276001,1008.39795,1.807147750430966,54186.336,14279.75,249.04341,274.02747,8.392807,1.0482483,-4.4665527,4.675705,9.5,86.0,77.9,0.8,1.7
2025-01-29 19:00:00,82.09190597853858,102.34281042411855,122.67087378640775,35.19988466347978,35.96235836089164,41.02913274964453,0.3490212267362033,0.4856368591381365,31.291664342926623,0.5011037301992846,35.68742041929082,6.790389509439516,3685.7424788893713,11.176273924041343,19.92261550736153,1.49431141633094,0.0750638732754215,13.40792360547606,data/raw/images/20250129-2000.jpg,28.71922,ug.m-3,279.86737,278.90277,93.56662931609004,-1.4546051,-0.9484558,100003.266,0.0,56.546494,0.16784668,750.8464,1.7365034988446324,54255.906,14328.391,249.27043,273.9727,9.782303,0.44909668,-1.7556458,4.2666626,9.1,8.0,81.5,0.4,1.3
2025-01-29 20:00:00,79.78163004598876,98.66784363822175,118.57724578436384,32.5616350394696,33.22860981396459,38.64583745447073,0.34391747139037,0.4698586071117255,30.314055344134218,0.4851900968869918,33.01590525602051,6.708120816272716,3518.841600641327,10.888455812130026,19.227502643940117,1.4862725194977775,0.0684874808380173,14.390570877531962,data/raw/images/20250129-2100.jpg,21.407717,ug.m-3,280.0078,278.75494,91.7253972769682,-1.4928741,-0.7494354,100078.484,0.0,50.159565,0.34832764,716.6881,1.670427040377391,54293.383,14387.773,249.4375,273.87274,9.5794525,0.32051086,-0.32894897,3.9984436,9.3,3.0,81.2,0.7,1.3
2025-01-29 21:00:00,80.66691875319367,97.83806847215124,118.24547777210016,30.132460121079266,30.31771587219452,34.79073033084596,0.3334753221385287,0.4672425781758795,27.644450591950218,0.487425330888615,30.20143261935174,6.661321633046069,3225.813543299029,10.393153115553464,17.70015489310954,1.46584843122659,0.0646499744506898,20.020872874765733,data/raw/images/20250129-2200.jpg,29.418736,ug.m-3,280.38922,278.84888,89.94358119229022,-1.8910065,-0.7354126,100120.58,9.536743e-07,44.11997,0.17544556,688.4206,2.02897443928725,54316.54,14412.543,249.48694,273.7162,8.351608,0.012512207,1.9076385,3.2061005,8.9,5.0,83.0,0.7,1.6
2025-01-29 22:00:00,81.39655595298927,96.94184466019418,116.31726622381196,30.276419509704333,30.2740942472935,34.105723858095566,0.3181406457741404,0.4597506988487781,26.54010383110807,0.4810161211137496,30.143680519531653,6.631434352106404,3173.4521545694024,10.212262423508104,17.395231081739304,1.4290194890060424,0.0702759325498211,19.610277842300604,data/raw/images/20250129-2300.jpg,26.733086,ug.m-3,279.8844,278.1717,88.83336610770344,-1.8830414,-0.77326965,100175.44,1.4305115e-06,57.80955,0.69537354,691.302,2.0356303362165447,54318.395,14439.531,249.9072,273.11282,8.94458,-2.4914856,5.4428253,0.20066833,8.5,15.0,84.7,0.5,1.6
2025-01-30 03:00:00,90.8207715891671,105.02020439448135,122.82564128768524,32.346204999057186,33.933018884673594,38.283745690810385,0.2824070556539513,0.4853815664231967,25.434510503797338,0.532657068141513,33.47509086667424,6.73539757286019,2997.837927913837,9.991415013344769,17.062841323748703,1.3523959088444883,0.0923658661216147,1.3813576571685482,data/raw/images/20250130-0400.jpg,24.013199,ug.m-3,279.3282,278.25946,92.8647299541643,0.23310852,-1.575531,100185.41,0.0001077652,27.144913,0.9633789,530.40137,1.59268249003296,54288.38,14417.637,249.2505,273.05304,7.207382,-1.8788605,18.387741,3.9300842,6.8,24.0,87.5,,2.0
2025-01-30 04:00:00,87.02356668369954,103.57960143076136,122.29159938681656,30.51698165267751,31.962961364317614,36.97285844468521,0.3054343680136328,0.4828005851292995,26.235181088040747,0.5241414329656237,31.63231596244918,6.734958892244735,2947.127253672836,9.842140823101255,16.633155469427177,1.4052698900061655,0.0778640776699029,4.150727919804712,data/raw/images/20250130-0500.jpg,26.051764,ug.m-3,278.33368,277.4328,93.90760105925114,0.2166748,-1.5899811,100189.43,7.247925e-05,31.717789,0.9691162,456.86365,1.604676873177977,54284.68,14415.203,249.15689,273.088,6.8844147,-1.1879578,18.243866,3.666153,6.9,358.0,87.6,0.5,1.4
