Fold,MAE,RMSE,R2,MAPE,SMAPE,NRMSE,Model,Feature Set
1,5.844278700014223,8.757471902061145,0.48143411631072874,69.65803221665816,44.19252384655329,59.64496359071292,Ridge,Image
2,5.864649149359419,8.280169370013889,0.48647397907452583,82.97423540481836,46.37667303643409,56.11045615304293,Ridge,Image
3,6.014462355770302,8.10820481760256,0.4648092232465919,54.328286135346694,42.777304965778,55.59654940021729,Ridge,Image
4,6.9019214330711955,9.560703775564612,0.3764635118270643,75.1904605748155,43.531429916813316,58.12939198399572,Ridge,Image
5,5.413569374965163,7.214976585168428,0.4905917120411314,74.36429053999663,47.222641604741966,55.67846453896948,Ridge,Image
1,6.020353659697872,8.199293701467216,0.5454315154068015,73.1512979313182,49.56035717452539,55.84335065676575,Ridge,Image + ERA5
2,5.647466890150843,7.246165946224746,0.6067211734187581,72.45841772906209,48.27344737237556,49.10354588587775,Ridge,Image + ERA5
3,5.59421450161237,7.328977202706815,0.562733767507957,50.82827712422655,42.65415960476141,50.25352125032229,Ridge,Image + ERA5
4,6.036918550879055,8.201324791013654,0.5411717279680162,65.79802831113356,39.45177519570506,49.864323250276676,Ridge,Image + ERA5
5,5.192378860491163,6.724964387899254,0.5574359505031827,69.14603823113123,46.33238258698655,51.897007118109755,Ridge,Image + ERA5
1,6.000075883775354,8.202983932995956,0.5450222507798064,73.11372704998517,49.321414302734645,55.868483906136625,Ridge,Image + ERA5 + ARPA
2,5.660292573345203,7.217766497695657,0.6097978390882847,71.57340700574701,49.391713817817774,48.91109740562893,Ridge,Image + ERA5 + ARPA
3,5.5927376563328846,7.307545686856032,0.5652873506644682,50.532082953281744,42.24167982810303,50.1065690757629,Ridge,Image + ERA5 + ARPA
4,6.086348181500267,8.255981403275797,0.5350357526091382,65.22308556418653,39.89049826556894,50.19663724235157,Ridge,Image + ERA5 + ARPA
5,5.199260520572756,6.727860911333109,0.5570546330327284,68.20639487172284,46.45026489252957,51.919359786256976,Ridge,Image + ERA5 + ARPA
1,5.353572008858087,7.085265235243946,0.6605634057279106,75.08954109280612,46.06676915385211,48.255979775077165,Ridge,All Features
2,4.760547623796105,6.126568594069835,0.7188626061262018,61.46451563314488,42.78519573785981,41.516609516598415,Ridge,All Features
3,5.124011139779955,6.7083759902637015,0.6336518600549497,46.3817676047146,42.36132918278979,45.99816673701212,Ridge,All Features
4,5.826458724723318,7.614240410634294,0.6045101720536326,57.42708389390312,41.23958714305349,46.29483099574464,Ridge,All Features
5,4.576191795360952,5.869993507794088,0.6628125543405374,57.256337398565464,46.35721863834221,45.29913874419933,Ridge,All Features
1,5.241747890153466,7.907198840954169,0.5772420763492225,63.64567651355,40.7875612745898,53.85396519082612,Random Forest,Image
2,5.279535430833905,7.355631445056901,0.5947491490395975,78.10133690076732,41.29020658137208,49.845337363566124,Random Forest,Image
3,5.082605640091501,6.971527294064632,0.6043464534076309,45.60155795462333,36.355020725867945,47.80254943214807,Random Forest,Image
4,5.934420708496105,8.321323626711065,0.5276466791368326,66.76625479381448,38.445943371992044,50.593920100218405,Random Forest,Image
5,4.871873578413535,6.315801183763026,0.6096510143373144,72.57379130167543,43.05548866560311,48.739466870649856,Random Forest,Image
1,4.978253612249867,7.120847717556324,0.6571455168279912,65.18609218535656,40.41333425937885,48.498323214567904,Random Forest,Image + ERA5
2,4.671456059600138,6.163846294181571,0.715430982352409,71.39356610856584,39.52415408045646,41.76922134905449,Random Forest,Image + ERA5
3,4.517493606023169,5.974872332923117,0.7093860488898843,41.049785216621146,33.83333059693557,40.96865980694004,Random Forest,Image + ERA5
4,5.060947020089505,6.630188512225567,0.7001293914251323,54.185224841759585,35.310502916027566,40.31176323441575,Random Forest,Image + ERA5
5,4.648515953421761,5.950694251282508,0.6534775089051881,69.51632226238938,42.21323547014042,45.92191186501932,Random Forest,Image + ERA5
1,4.94955411138292,7.030658910566957,0.6657753372259627,64.56915776616354,40.230984583917014,47.88406967549522,Random Forest,Image + ERA5 + ARPA
2,4.6908449662506335,6.170172568511484,0.714846546778804,71.76674233582435,39.575187151036594,41.81209126179881,Random Forest,Image + ERA5 + ARPA
3,4.550361229545778,6.009626181368398,0.7059954066516361,41.58713033521237,33.973927798705084,41.20696089767483,Random Forest,Image + ERA5 + ARPA
4,5.098833309183999,6.708575308509909,0.6929969100603754,54.0649330752281,35.34779009563481,40.78835752229944,Random Forest,Image + ERA5 + ARPA
5,4.686345185374351,5.982078973356614,0.6498126620703968,70.22265047280514,42.38387964594195,46.16410989774207,Random Forest,Image + ERA5 + ARPA
1,5.101255202825563,7.127360409414697,0.6565180840301168,69.29407656743246,40.942746277749634,48.542679539442744,Random Forest,All Features
2,4.347800929323306,5.6164996474909055,0.7637262436228365,67.5339444906876,37.862116898008466,38.060134173751926,Random Forest,All Features
3,4.400369881151273,5.824388586982408,0.7238405663267276,40.095977518600385,33.03867357613952,39.93681894902791,Random Forest,All Features
4,4.941981916782837,6.497266922154737,0.7120324406132411,50.713479361398925,34.276706666316066,39.50359561477763,Random Forest,All Features
5,4.574982590882888,5.927871131785853,0.6561304960841247,67.32216652747206,41.70171382377709,45.74578430111628,Random Forest,All Features
