Model,Feature Set,Variables,CV MAE,CV MAE Std,CV RMSE,CV RMSE Std,CV R2,CV R2 Std
Ridge,Color,10,6.371195000227391,0.5665009846522865,8.824240048875744,0.8732135610544604,0.40203078846801654,0.04281683325988929
Ridge,Contrast,5,6.64501982295473,0.5979028004664994,9.240887516457882,0.9626907001700142,0.34463696452000514,0.05090821079227549
Ridge,Visibility,3,7.169722824504926,0.38829947146859495,9.754400626282477,0.7859912381688337,0.2672408617532662,0.05192860435256713
Ridge,All Image Features,18,6.007776202636061,0.5476857991922878,8.384305290082128,0.862782141943786,0.4599545085000084,0.04769069325557009
Random Forest,Color,10,5.725951379920979,0.5075165710484122,8.027183903540745,0.8585523378836054,0.5052241502610498,0.044155337014589194
Random Forest,Contrast,5,5.689567433600626,0.31392926100450835,7.981905501164087,0.7222124084461863,0.5102633020574748,0.032604237250250245
Random Forest,Visibility,3,6.112044815325809,0.5105790158791277,8.626482227921326,0.9982545313910788,0.42857396892810373,0.063313330287623
Random Forest,All Image Features,18,5.2820366495977025,0.3985099976956366,7.374296478109959,0.784829445762341,0.5827270744541196,0.033169117847131335
