Fold,MAE,RMSE,R2,MAPE,SMAPE,NRMSE,Feature Set,All Features RMSE,All Features R2,Removed Source,RMSE Change,R2 Change
1,5.846770486074399,8.081000163428381,0.558453275719828,79.62289087746282,44.344029968000996,55.037682782720694,All - Image,7.127360409414696,0.6565180840301168,Image,0.9536397540136852,-0.09806480831028885
2,4.719107455981783,5.89450222178029,0.7397574621471904,68.37277447038024,40.39554353615684,39.944014872084956,All - Image,5.6164996474909055,0.7637262436228365,Image,0.2780025742893848,-0.023968781475646073
3,4.777019850547059,6.47172660953906,0.6590430680095001,43.579111662542346,34.89835435245648,44.3755031164009,All - Image,5.824388586982408,0.7238405663267276,Image,0.6473380225566521,-0.06479749831722748
4,5.315898300363082,7.183713243087013,0.6479696367360059,48.38321773546776,35.63807427695937,43.67721172109691,All - Image,6.497266922154737,0.7120324406132411,Image,0.6864463209322755,-0.06406280387723517
5,5.035842952411665,6.617221275430863,0.5715033121180959,71.9175501616638,43.92547339867714,51.06554619844144,All - Image,5.927871131785853,0.6561304960841248,Image,0.6893501436450098,-0.08462718396602886
1,5.040448093657454,7.156727870504788,0.653681697830143,67.0379135736619,40.303713636341946,48.742694014745595,All - ERA5,7.127360409414696,0.6565180840301168,ERA5,0.02936746109009203,-0.0028363861999738393
2,4.654253933723734,6.079759456761943,0.7231421717351274,72.86274398137654,38.875128910683415,41.199408028427435,All - ERA5,5.6164996474909055,0.7637262436228365,ERA5,0.4632598092710376,-0.04058407188770907
3,4.735936372609168,6.209817867118125,0.6860814901041051,42.762952405805486,35.08036627212186,42.579640448410245,All - ERA5,5.824388586982408,0.7238405663267276,ERA5,0.38542928013571665,-0.03775907622262242
4,5.281696162571205,7.169021662359434,0.6494080554914369,54.19756676491079,35.48337391960848,43.58788642925378,All - ERA5,6.497266922154737,0.7120324406132411,ERA5,0.6717547402046966,-0.06262438512180424
5,4.596040516199158,5.916836948243083,0.6574094671513573,68.67042169931847,42.09325771812627,45.660632756984384,All - ERA5,5.927871131785853,0.6561304960841248,ERA5,-0.01103418354276986,0.001278971067232515
1,5.10460833492544,7.166858651993275,0.6527005348356378,69.46018054643882,40.96036635083424,48.811692248457774,All - ARPA,7.127360409414696,0.6565180840301168,ARPA,0.03949824257857859,-0.003817549194478964
2,4.3951550903848995,5.620929710886237,0.7633533706289524,69.22090444539784,38.13746853011523,38.090154438651226,All - ARPA,5.6164996474909055,0.7637262436228365,ARPA,0.004430063395331807,-0.0003728729938841102
3,4.419021498032905,5.853711609879797,0.7210529041942784,40.08658428294895,33.14557428316265,40.13788181408271,All - ARPA,5.824388586982408,0.7238405663267276,ARPA,0.02932302289738864,-0.002787662132449187
4,4.921353431878325,6.42108399988481,0.7187459075312843,50.840983864022384,34.35178513075394,39.04040095305898,All - ARPA,6.497266922154737,0.7120324406132411,ARPA,-0.07618292226992729,0.006713466918043198
5,4.585884033791469,5.926228300467756,0.65632106747065,67.7312345603235,41.83838800976078,45.73310646021015,All - ARPA,5.927871131785853,0.6561304960841248,ARPA,-0.001642831318097393,0.00019057138652522898
1,4.94955411138292,7.030658910566958,0.6657753372259626,64.56915776616356,40.230984583917014,47.884069675495226,All - Temporal,7.127360409414696,0.6565180840301168,Temporal,-0.0967014988477386,0.009257253195845805
2,4.6908449662506335,6.170172568511484,0.714846546778804,71.76674233582435,39.57518715103659,41.81209126179881,All - Temporal,5.6164996474909055,0.7637262436228365,Temporal,0.5536729210205786,-0.04887969684403248
3,4.550361229545778,6.009626181368398,0.7059954066516361,41.58713033521237,33.973927798705084,41.20696089767483,All - Temporal,5.824388586982408,0.7238405663267276,Temporal,0.18523759438599008,-0.017845159675091482
4,5.098833309184,6.708575308509909,0.6929969100603754,54.0649330752281,35.34779009563481,40.78835752229944,All - Temporal,6.497266922154737,0.7120324406132411,Temporal,0.21130838635517168,-0.019035530552865665
5,4.686345185374351,5.982078973356614,0.6498126620703968,70.22265047280514,42.38387964594195,46.16410989774207,All - Temporal,5.927871131785853,0.6561304960841248,Temporal,0.05420784157076142,-0.006317834013727985
