Repeat,Test samples per season,Overall MAE,Overall RMSE,Overall R2,Macro MAE,Macro RMSE,Macro R2,Autumn MAE,Autumn RMSE,Autumn R2,Spring MAE,Spring RMSE,Spring R2,Summer MAE,Summer RMSE,Summer R2,Winter MAE,Winter RMSE,Winter R2
1,14,5.014946125737172,6.875150151690875,0.5986392273698482,5.014946125737171,6.558847455747066,0.09187139525911384,6.592770603723144,9.884690639427506,-0.1779118062756444,3.8828418462545864,4.300856594404346,0.3104372151360387,4.538676967163605,6.390249050599586,0.23255682840598346,5.045495085807348,5.659593538556826,0.0024033437700775595
2,17,7.366759877684127,11.35189449491446,0.6638996348961592,7.366759877684126,9.47110701664299,-0.3479296599723955,6.927302456822723,8.168647457145923,-0.2110776887374779,5.096282360742003,6.393717699463383,-0.608280329102582,2.9538721628978934,3.4179647317592807,-0.7920261843670715,14.48958253027389,19.904098178203366,0.2196655623175494
3,19,8.364359875111209,10.672168344563856,0.07944428402606751,8.36435987511121,10.141877655523794,-3.9300884965917606,12.995790635721296,14.874398907531472,-1.834923452481926,5.769169620267645,6.9618765609041775,0.7956270651364317,5.7134159649674485,7.081361089659628,-0.01936829921863592,8.979063279488452,11.649874063999903,-14.661689299802912
4,17,6.831956182114413,9.064000569973256,0.19154211608054805,6.831956182114414,8.077691655883294,-1.4351361372370022,11.982143845492704,13.59446873498409,-2.3542557853547645,4.245649984901934,5.093579907151707,-1.5894545647496248,2.346112670948684,3.27009747306414,0.1900321501452088,8.753918227114333,10.352620508333237,-1.986866348988828
5,20,7.86792700677663,11.05357235102087,0.5693844365598905,7.867927006776629,10.206571003341308,-0.8088753040181712,9.847064857908935,11.684300125010433,-2.79451559203377,6.200286085692663,7.596455439300073,-0.2368211838555665,4.100172660388339,5.187428775787121,-0.5910697320444984,11.324184423116582,16.358099673267603,0.38690529186114997
6,13,4.450243483460856,5.54549602634306,0.6080157208761129,4.450243483460857,5.179756365445122,-0.2439879263636894,7.156755906967925,8.450915660152848,-1.0488449502271964,2.969091414171033,3.7108845632290013,0.11228069384853934,2.9852765565637727,3.50130538078731,-0.23308010467454143,4.689850056140695,5.055919857611329,0.19369265559844073
7,20,7.533238973809935,10.358583391151418,0.3178323395274467,7.533238973809936,9.43675257450988,-0.7342936861704255,10.996702746636519,13.574713780690274,-2.6920910187096285,4.174653779813309,5.0183148039888374,-0.5510339944769937,3.736272552831347,5.3162893857787585,0.6099161436634788,11.225326815958567,13.837692327581651,-0.30396587515855766
8,18,7.362984933031896,9.528536419006326,0.30187775917151927,7.362984933031896,9.223467000535628,-1.1937693161592955,9.834213495215812,12.47016690806956,-3.3765640341630245,5.788805703675103,7.716361177619809,-1.2392147131298463,5.536872843244025,6.285200829526075,-0.24761909821790185,8.292047689992643,10.422139086927071,0.08832058087359018
9,19,6.669979337353703,8.548226711988667,0.5288823288814856,6.669979337353704,7.833765412630349,-0.6162146247682336,11.240683657935017,12.715651627852353,-0.7610275139631175,3.3748257206735857,4.055080586844963,0.19185936602202924,4.237502226618561,5.270026696563938,-0.20461807155923029,7.826905744187647,9.294302739260145,-1.6910722795726159
10,17,5.820198196048775,7.724082874590122,0.7149463407241043,5.820198196048775,7.433903518187638,-0.4192170622967269,5.803404088275705,7.938645048319975,-0.5135328959521905,7.312073909110258,9.689770213586232,-0.3862012665199399,3.4878989511661724,3.9993402328526546,-0.749380388395674,6.677415835642963,8.10785857799169,-0.027753698319103126
