Model,Feature Set,Variables,CV MAE,CV MAE Std,CV RMSE,CV RMSE Std,CV R2,CV R2 Std,Experiment,Normalization,Clean threshold
Random Forest,All image features,18,6.282033532884269,1.1776180732564152,8.759667628566344,2.453930304214135,0.6034703210361497,0.03984013282045932,RQ1 image groups,Raw image features,
Random Forest,Clean-reference normalized image,18,6.593373052215,1.68148301890552,9.389962554076295,3.663467089085338,0.5584885692403949,0.0927402338230685,,Clean-reference normalized,6.0928242
