Fold,MAE,RMSE,R2,MAPE,SMAPE,NRMSE,Feature Set
1,5.101255202825563,7.127360409414696,0.6565180840301168,69.29407656743247,40.94274627774963,48.54267953944274,All Features
2,4.347800929323306,5.6164996474909055,0.7637262436228365,67.5339444906876,37.862116898008466,38.060134173751926,All Features
3,4.400369881151273,5.824388586982408,0.7238405663267276,40.09597751860039,33.03867357613952,39.93681894902791,All Features
4,4.941981916782837,6.497266922154737,0.7120324406132411,50.71347936139894,34.276706666316066,39.50359561477763,All Features
5,4.574982590882888,5.927871131785853,0.6561304960841248,67.32216652747206,41.70171382377709,45.74578430111628,All Features
1,5.846770486074399,8.081000163428381,0.558453275719828,79.62289087746282,44.344029968000996,55.037682782720694,All - Image
2,4.719107455981783,5.89450222178029,0.7397574621471904,68.37277447038024,40.39554353615684,39.944014872084956,All - Image
3,4.777019850547059,6.47172660953906,0.6590430680095001,43.579111662542346,34.89835435245648,44.3755031164009,All - Image
4,5.315898300363082,7.183713243087013,0.6479696367360059,48.38321773546776,35.63807427695937,43.67721172109691,All - Image
5,5.035842952411665,6.617221275430863,0.5715033121180959,71.9175501616638,43.92547339867714,51.06554619844144,All - Image
1,5.040448093657454,7.156727870504788,0.653681697830143,67.0379135736619,40.303713636341946,48.742694014745595,All - ERA5
2,4.654253933723734,6.079759456761943,0.7231421717351274,72.86274398137654,38.875128910683415,41.199408028427435,All - ERA5
3,4.735936372609168,6.209817867118125,0.6860814901041051,42.762952405805486,35.08036627212186,42.579640448410245,All - ERA5
4,5.281696162571205,7.169021662359434,0.6494080554914369,54.19756676491079,35.48337391960848,43.58788642925378,All - ERA5
5,4.596040516199158,5.916836948243083,0.6574094671513573,68.67042169931847,42.09325771812627,45.660632756984384,All - ERA5
1,5.10460833492544,7.166858651993275,0.6527005348356378,69.46018054643882,40.96036635083424,48.811692248457774,All - ARPA
2,4.3951550903848995,5.620929710886237,0.7633533706289524,69.22090444539784,38.13746853011523,38.090154438651226,All - ARPA
3,4.419021498032905,5.853711609879797,0.7210529041942784,40.08658428294895,33.14557428316265,40.13788181408271,All - ARPA
4,4.921353431878325,6.42108399988481,0.7187459075312843,50.840983864022384,34.35178513075394,39.04040095305898,All - ARPA
5,4.585884033791469,5.926228300467756,0.65632106747065,67.7312345603235,41.83838800976078,45.73310646021015,All - ARPA
1,4.94955411138292,7.030658910566958,0.6657753372259626,64.56915776616356,40.230984583917014,47.884069675495226,All - Temporal
2,4.6908449662506335,6.170172568511484,0.714846546778804,71.76674233582435,39.57518715103659,41.81209126179881,All - Temporal
3,4.550361229545778,6.009626181368398,0.7059954066516361,41.58713033521237,33.973927798705084,41.20696089767483,All - Temporal
4,5.098833309184,6.708575308509909,0.6929969100603754,54.0649330752281,35.34779009563481,40.78835752229944,All - Temporal
5,4.686345185374351,5.982078973356614,0.6498126620703968,70.22265047280514,42.38387964594195,46.16410989774207,All - Temporal
