Model,Feature Set,Variables,CV MAE,CV MAE Std,CV RMSE,CV RMSE Std,CV R2,CV R2 Std,CV MAPE,CV MAPE Std,CV SMAPE,CV SMAPE Std,CV NRMSE,CV NRMSE Std
Ridge,Image,18,6.007776202636061,0.5476857991922878,8.384305290082128,0.862782141943786,0.4599545085000084,0.04769069325557009,71.30306097432705,10.624834294498429,44.820114674064136,1.8988588509095738,57.031965133387665,1.7870134035171
Ridge,Image + ERA5,36,5.698266492566261,0.3491973197720528,7.540145205862338,0.6455948186958599,0.5626988269609431,0.02611150185484569,66.27641186537433,9.118521374146292,45.254424386870795,4.160819192563421,51.39234963227044,2.6896331810849583
Ridge,Image + ERA5 + ARPA,43,5.707742963105293,0.3545534523670053,7.54242768643131,0.6651291103965767,0.5624395652348853,0.028871461983689454,65.72973948898466,9.028164356737015,45.45911422135079,4.263990176337475,51.4004294832274,2.7181226835464414
Ridge,All Features,55,5.128156258503683,0.49453428944045696,6.680888747601173,0.7071497616677432,0.6560801196606464,0.042336604914093696,59.52384912462683,10.347817323983607,43.76201997117948,2.3089885532934833,45.472945153726336,2.4687768274034907
Random Forest,Image,18,5.282036649597702,0.39850999769563666,7.374296478109959,0.784829445762341,0.5827270744541196,0.033169117847131335,65.33772349288611,12.345955404209976,39.986844123885,2.613474569227924,50.16704779148172,2.318831454299719
Random Forest,Image + ERA5,36,4.775333250276888,0.23243616246361,6.368089821633816,0.5014714965894298,0.687113889680121,0.029566956141911755,60.2661981229385,12.647502060690924,38.258911464587776,3.5411133059381092,43.4939758939995,3.5502409134781603
Random Forest,Image + ERA5 + ARPA,43,4.795187760347536,0.22288099103071954,6.3802223884626725,0.46660046183998993,0.6858853725574351,0.02738334809752492,60.44212279704669,12.620592660752433,38.302353855047095,3.5165072516317104,43.57111785100207,3.2308021017754407
Random Forest,All Features,55,4.673278104193173,0.33370736932082784,6.19867733956572,0.6131816453317168,0.7024495661354093,0.046258498881680224,58.99192889311828,12.981552692327176,37.564391448398155,3.870088878817083,42.357802515623305,4.533451665615431
