Model,Feature Set,Variables,CV MAE,CV MAE Std,CV RMSE,CV RMSE Std,CV R2,CV R2 Std,CV MAPE,CV MAPE Std,CV SMAPE,CV SMAPE Std,CV NRMSE,CV NRMSE Std,CV RMSE Change,CV R2 Change
Random Forest,All Features,55,4.673278104193173,0.33370736932082784,6.19867733956572,0.6131816453317165,0.7024495661354093,0.046258498881680196,58.99192889311829,12.981552692327174,37.564391448398155,3.8700888788170817,42.3578025156233,4.533451665615428,0.0,0.0
Random Forest,All - Image,37,5.138927809075598,0.46103492198500967,6.849632702653122,0.8271907206263406,0.635345350946124,0.07350347016554748,62.37510898150339,15.60111126794459,39.840295106450164,4.45426897809597,46.81999173814898,6.096860411298356,0.6509553630874017,-0.06710421518928533
Random Forest,All - ERA5,37,4.861675015752144,0.29059119745829154,6.506432760997474,0.6081861367815393,0.6739445764624339,0.03103926144867787,61.10631968501464,12.397811778996784,38.3671680913764,3.041846140603906,44.35405233556429,2.9434102938472058,0.3077554214317537,-0.028504989672975434
Random Forest,All - ARPA,48,4.685204477802608,0.31484619274321873,6.197762454622375,0.6151946332714239,0.7024347569321606,0.047232752776487176,59.46797753982629,13.35391838747775,37.68671646092537,3.8697569993025147,42.36264718289217,4.668813371865521,-0.0009148849433451289,-1.4809203248700165e-05
Random Forest,All - Temporal,43,4.795187760347536,0.22288099103071982,6.3802223884626725,0.46660046183999027,0.6858853725574349,0.027383348097524938,60.44212279704671,12.620592660752434,38.302353855047095,3.51650725163171,43.57111785100208,3.230802101775443,0.1815450488969521,-0.01656419357797445
