Fold,MAE,RMSE,R2,MAPE,SMAPE,NRMSE
1,8.320894863756617,12.161210525012626,-1.1394638743666974e-07,118.03282225716497,57.20787613937629,82.82698101636551
2,8.637678245966695,11.55502322629828,-5.908508100360699e-05,132.95177384933677,59.780654023209024,78.30245917850287
3,7.818323756429161,11.084064700441584,-0.00013195476023342145,74.00804072747063,51.59227406594291,76.0015027414557
4,8.533368003064405,12.305834242525256,-0.033009390930690774,76.98738275470097,52.275324644845014,74.81987510188114
5,7.85273823156642,10.336569390054914,-0.04556010426279378,124.0912404199544,59.332113616972215,79.76800831507266
