year_month,Samples,Mean,Median,Std,Min,Max
2025-01,20,24.85075845,25.859158,4.817293823530204,13.286428,32.4175
2025-02,86,38.31392094186047,33.2502615,15.455209435935508,16.54089,93.11127
2025-03,100,21.750576019999997,21.370649,12.18126996834373,2.66574,46.993347
2025-04,99,9.798663646464647,8.781713,5.2180904190926745,2.413584,25.17284
2025-05,98,10.43886581632653,9.540351,5.218268763071835,2.726364,23.156933
2025-06,46,19.33782539130435,18.739209000000002,7.5462202931085205,6.526372,35.748043
2025-10,60,29.271536066666666,27.6076385,10.994824931791781,12.191692,54.478188
2026-03,528,25.368344831439394,24.101687499999997,17.460366005356434,0.327434,64.35078
2026-04,599,12.448598841402337,11.043881,6.842988171435621,1.967093,43.752964
2026-05,617,9.589063529983793,8.711217,5.907306575676991,0.800444,75.18306
2026-06,589,9.737504933786079,9.03481,5.234685806785523,0.624128,28.461819
2026-07,338,10.705151153846154,9.629057,4.466725023804131,3.606555,30.450808
