Fold,MAE,RMSE,R2,MAPE,SMAPE,NRMSE,Model,Feature Set
1,6.177480927726874,9.29851140824665,0.4153805061805623,71.55151162216971,47.011867698527695,63.32984913855883,Ridge,Color
2,6.34571161079679,8.833841550894894,0.4155017375448711,87.22528927544802,49.5391619176285,59.86240822554397,Ridge,Color
3,6.311753521848012,8.416083554995899,0.4233938422150507,56.383412199700444,44.5354366116325,57.70762032378413,Ridge,Color
4,7.286132223707638,9.938667414371851,0.3261884311885652,76.44691548577288,45.84584388863098,60.42742328291293,Ridge,Color
5,5.734896717057646,7.634096315869426,0.4296894252110335,78.30916163030044,47.458030242813805,58.9128399784392,Ridge,Color
1,6.730927391408983,9.838131775495977,0.34555718080537545,85.43543665324383,48.88031238265504,67.00506928397752,Ridge,Contrast
2,6.284213274531007,9.14511035723352,0.3735853366868753,88.6374940048205,47.608722923950886,61.97171709706579,Ridge,Contrast
3,6.735667638213897,9.0670760834721,0.3307417722815468,60.876818625007864,46.170953043903985,62.17136280227039,Ridge,Contrast
4,7.533134817067274,10.353251290004527,0.26880088323789797,80.30269698688316,47.033883483334044,62.948106820717946,Ridge,Contrast
5,5.941155993552491,7.800868076083283,0.40449964958833007,83.78259598841979,50.07802503553492,60.199828983539625,Ridge,Contrast
1,7.184438030343273,10.245647859446658,0.2902175015232913,95.70349071554654,55.64356054003693,69.78056000341078,Ridge,Visibility
2,7.21604590845962,9.745106635495695,0.28869279878342957,113.17691807987298,53.88971347438265,66.03758379121075,Ridge,Visibility
3,6.774255492510397,9.072123119969044,0.32999650208420894,63.071884438609814,47.35849750698304,62.20596945321708,Ridge,Visibility
4,7.777634378709167,10.788412634455032,0.20604251797569073,78.24103480353263,51.41745828553077,65.59390204266562,Ridge,Visibility
5,6.896240312502174,8.920712882045954,0.22125498839971047,101.13201755032657,57.68927186794254,68.84174744050523,Ridge,Visibility
1,5.844278700014223,8.757471902061145,0.48143411631072874,69.65803221665816,44.19252384655329,59.64496359071292,Ridge,All Image Features
2,5.864649149359419,8.280169370013889,0.48647397907452583,82.97423540481836,46.37667303643409,56.11045615304293,Ridge,All Image Features
3,6.014462355770302,8.10820481760256,0.4648092232465919,54.328286135346694,42.777304965778,55.59654940021729,Ridge,All Image Features
4,6.9019214330711955,9.560703775564612,0.3764635118270643,75.1904605748155,43.531429916813316,58.12939198399572,Ridge,All Image Features
5,5.413569374965163,7.214976585168428,0.4905917120411314,74.36429053999663,47.222641604741966,55.67846453896948,Ridge,All Image Features
1,5.628881968649127,8.569010168129399,0.5035131474554468,67.9494261887994,42.862423093760334,58.361397581673714,Random Forest,Color
2,5.854334387945716,8.268205739516583,0.487956846625788,86.64076274203015,44.14369924065846,56.0293847721988,Random Forest,Color
3,5.3381875948098,7.30750705014273,0.5652919475084207,48.766995406793825,37.9487104894156,50.10630415054356,Random Forest,Color
4,6.532864986308966,9.014629968516605,0.44565777977288745,69.74251472513807,41.207980801861495,54.80924535805219,Random Forest,Color
5,5.2754879618912875,6.976566591398411,0.523701029942706,78.46734232977538,45.26535013796672,53.83863841796067,Random Forest,Color
1,5.790884041371212,8.180855866906304,0.5474736022767224,74.8816228600191,44.520491981568284,55.717775150115436,Random Forest,Contrast
2,5.763327075074632,8.261056604631662,0.48884194384798807,81.53766380627887,43.84074993942459,55.98093875599227,Random Forest,Contrast
3,5.537012039345108,7.78153819286886,0.5070644890118843,49.601558008156815,38.89043985318858,53.35665320272837,Random Forest,Contrast
4,6.0995990907502575,8.815185856735804,0.4699155134687274,69.57193373722252,39.15040769767488,53.5966186283927,Random Forest,Contrast
5,5.257014921461921,6.870890984677809,0.5380209616820516,76.07847754111447,45.06608316375417,53.02313258062747,Random Forest,Contrast
1,6.023872553897026,9.201863289161224,0.4274703409937266,74.87625982468471,44.96074197701679,62.67160283089961,Random Forest,Visibility
2,6.139149619869974,8.486356894236575,0.4605805545599604,89.14085698348227,46.13528713600091,57.50768313237247,Random Forest,Visibility
3,5.828742729740147,8.025986429824032,0.47560801972034106,53.77678365746505,40.784875725774654,55.03279222331279,Random Forest,Visibility
4,6.9530716625107845,9.986032687884478,0.3197506829216443,76.4198140995411,42.845779189943975,60.71540569666385,Random Forest,Visibility
5,5.6153875106111135,7.432171838500322,0.45946024644484607,84.65117670611943,47.109404400092174,57.354575066553394,Random Forest,Visibility
1,5.241747890153467,7.907198840954169,0.5772420763492225,63.64567651355,40.7875612745898,53.85396519082612,Random Forest,All Image Features
2,5.279535430833905,7.355631445056901,0.5947491490395975,78.10133690076732,41.29020658137208,49.845337363566124,Random Forest,All Image Features
3,5.082605640091501,6.971527294064631,0.604346453407631,45.60155795462333,36.355020725867945,47.80254943214806,Random Forest,All Image Features
4,5.934420708496105,8.321323626711065,0.5276466791368326,66.76625479381447,38.445943371992044,50.593920100218405,Random Forest,All Image Features
5,4.871873578413535,6.315801183763026,0.6096510143373144,72.57379130167543,43.0554886656031,48.739466870649856,Random Forest,All Image Features
