Removed Source,RMSE Change Mean,RMSE Change Std,R2 Change Mean,R2 Change Std
ARPA,-0.0009148849433451289,0.04539253178759526,-1.4809203248766779e-05,0.004110645789807379
ERA5,0.3077554214317546,0.292334147737398,-0.028504989672975413,0.02711843013727311
Image,0.6509553630874014,0.24158770436322,-0.06710421518928529,0.028021641316649033
Temporal,0.18154504889695264,0.24135790336219068,-0.01656419357797436,0.02135284014912942
