Metric,Mean paired improvement,Std paired improvement,Improved folds,Total folds
MAE Reduction,0.2174583375453949,0.21397575736045837,4,5
RMSE Reduction,0.48327893018722534,0.35249823331832886,5,5
R2 Gain,0.04666482210159302,0.03283071742839299,5,5
