Model,Feature Set,Variables,CV MAE,CV MAE Std,CV RMSE,CV RMSE Std,CV R2,CV R2 Std,CV MAPE,CV MAPE Std,CV SMAPE,CV SMAPE Std,CV NRMSE,CV NRMSE Std
Frozen EfficientNet-B0 Image Only,Raw ROI embedding,1280,4.815472692986903,0.38175040619470707,6.621974637635039,0.7260042712631163,0.6636101780167663,0.02831320447160244,58.06710084808784,10.005257915812239,37.827410149155284,2.731596504361039,45.10221163620704,3.517037176830876
Frozen EfficientNet-B0 Fusion,Raw ROI embedding + environmental features,1317,4.5980143486862595,0.5096917969761584,6.138695715329698,0.828750054207034,0.7102749853625292,0.04589220061738274,55.61902577379296,12.614688480820515,36.61286936544119,3.095601472200767,41.81879501277623,4.703793487923384
