Fold,MAE,RMSE,R2,MAPE,SMAPE,NRMSE,Best Epoch,Train Time (s)
1,5.1122087289209235,7.443709924568145,0.6253503588484222,63.629165141548086,39.33027926856892,50.69725745899985,4,4.465691792000143
2,4.861418525650077,6.834770422044879,0.6501097196160869,61.796607241094115,39.19474923528664,46.31572973810075,35,8.361900291001803
3,4.506803833758893,6.125804070090201,0.6945181610298592,40.85867536280468,34.065501634786315,42.003572431302956,14,5.416165082999214
4,5.243952040433472,7.058732283781156,0.6601122177484844,58.27674417313832,35.910134651687976,42.91732319772253,15,7.062087417001749
5,4.352980336171152,5.646856487690809,0.6879604328409789,65.774312321854,40.636385955446585,43.57717535490907,7,4.177793541002757
