Weighting,CV_MAE,CV_RMSE,CV_R2,CV_R2_Std,Common_Unweighted_R2,Common_Full_Weight_R2,Median_Best_Epoch
Full inverse,5.6391854,7.9348536,0.7204998850822448,0.0773101090246293,0.7291540741920471,0.7204998850822448,20.0
Square-root inverse,4.996811,6.9662743,0.7335894942283631,0.05431860714829204,0.7207467079162597,0.7326992869377136,13.0
Unweighted,4.5942407,6.2076154,0.7435332179069519,0.06341744549733157,0.7435332179069519,0.7544763803482055,12.0
