Model,Feature Set,Variables,CV MAE,CV MAE Std,CV RMSE,CV RMSE Std,CV R2,CV R2 Std,R2 Gain vs Image Only,RMSE Reduction vs Image Only,MAE Reduction vs Image Only
Frozen EfficientNet Image Only,Raw ROI embedding,1280,4.9095616,0.4147331416606903,6.8869033,0.6905533075332642,0.6871205687522888,0.06396806081807678,0.0,0.0,0.0
Frozen EfficientNet Fusion,Raw ROI embedding + environmental features,1317,4.5942407,0.23446404933929443,6.2076154,0.446056991815567,0.7435332179069519,0.06341744549733157,0.05641264915466315,0.6792879,0.31532097
