Model,Feature Set,Variables,CV MAE,CV MAE Std,CV RMSE,CV RMSE Std,CV R2,CV R2 Std,CV MAPE,CV MAPE Std,CV SMAPE,CV SMAPE Std,CV NRMSE,CV NRMSE Std,Test MAE,Test RMSE,Test R2,Test MAPE,Test SMAPE,Test NRMSE,Category,Image Representation,Train Time (s),Predict Time (s)
Ridge,All Features,55,5.128156258503683,0.4945342894404569,6.680888747601173,0.7071497616677432,0.6560801196606464,0.0423366049140936,59.52384912462683,10.347817323983609,43.76201997117948,2.3089885532934833,45.472945153726336,2.4687768274034907,4.625208530875302,6.487393043047268,0.6379157642080129,47.27215824190536,42.227699323486355,46.38691237897061,Conventional ML,Handcrafted ROI,,
Decision Tree,All Features,55,5.2437305321152525,0.5555235455673232,7.001653776900429,0.750368425090579,0.6227562309770553,0.0419317138613388,66.35013999316888,16.551820552448678,41.36994199847956,3.913182252658217,47.72886550203437,4.045101226388932,5.520974401174817,7.5007871033123825,0.5159581929775261,74.26568589051293,44.71166579480469,53.63300047120778,Conventional ML,Handcrafted ROI,,
Random Forest,All Features,55,4.673278104193173,0.3337073693208277,6.19867733956572,0.6131816453317165,0.7024495661354093,0.0462584988816801,58.99192889311828,12.981552692327176,37.564391448398155,3.87008887881708,42.3578025156233,4.533451665615428,4.46725108303929,5.865516481733951,0.7040068131520056,60.84045757890979,38.740266349986506,41.94029825080513,Conventional ML,Handcrafted ROI,,
Gradient Boosting,All Features,55,4.380319202180321,0.3592867362676751,5.810085780765581,0.5080808551632738,0.7387347998743159,0.0355113556350133,49.857784280159706,8.756457787198272,35.92601608634855,2.7812811906712587,39.66268913650843,3.2660001443843214,4.062918647491742,5.583120908646879,0.7318219294608108,45.345241575788975,36.09087839145041,39.92108057460186,Conventional ML,Handcrafted ROI,,
MLP,All Features,55,5.3598159416581455,0.2953111961381759,7.095826627665318,0.5398226645021119,0.6126456640573357,0.0143708215065978,59.872833524827115,8.431361644410527,47.06310252909033,3.028520508564406,48.3517368562858,1.2128369575085285,5.047509090530804,6.712381432438741,0.6123654753984735,63.6907450956122,46.05049482629296,47.99565053245325,Feature-based DNN,Handcrafted ROI,,
EfficientNet-B0 Fusion,Raw ROI embedding + environmental features,1317,4.5980143486862595,0.5096917969761584,6.138695715329698,0.828750054207034,0.7102749853625292,0.04589220061738274,55.61902577379296,12.614688480820515,36.61286936544119,3.095601472200767,41.81879501277623,4.703793487923384,4.225873646471236,5.609834210990668,0.7292495091590305,52.50677811814711,36.62489313145329,40.11208919209548,Pretrained CNN extension,Learned raw-ROI representation,8.070591374998912,0.023134750001190696
