Fold,MAE Image Only,RMSE Image Only,R2 Image Only,MAPE Image Only,SMAPE Image Only,NRMSE Image Only,MAE Fusion,RMSE Fusion,R2 Fusion,MAPE Fusion,SMAPE Fusion,NRMSE Fusion,MAE Reduction,RMSE Reduction,R2 Gain,MAPE Reduction,SMAPE Reduction,NRMSE Reduction
1,5.1122087289209235,7.443709924568145,0.6253503588484222,63.629165141548086,39.33027926856892,50.69725745899985,5.168586401906732,7.3597054845863275,0.6337587054767342,71.30737001067726,40.473359957558195,50.125124105522296,-0.05637767298580876,0.08400443998181739,0.008408346628312025,-7.678204869129175,-1.1430806889892722,0.5721333534775539
2,4.861418525650077,6.834770422044879,0.6501097196160869,61.796607241094115,39.19474923528664,46.31572973810075,4.347904014260801,5.7855744178706825,0.7492869247398128,58.42995486002711,35.86504232508785,39.20586714273232,0.5135145113892756,1.0491960041741963,0.09917720512372596,3.3666523810670057,3.3297069101987944,7.109862595368426
3,4.506803833758893,6.125804070090201,0.6945181610298592,40.85867536280468,34.065501634786315,42.003572431302956,4.193286789513622,5.673862718068415,0.73793028315992,36.3044241877748,32.41946037255635,38.90468923211037,0.3135170442452706,0.45194135202178565,0.04341212213006085,4.554251175029883,1.6460412622299643,3.098883199192585
4,5.243952040433472,7.058732283781156,0.6601122177484844,58.27674417313832,35.910134651687976,42.91732319772253,5.131919828721279,6.583097745502862,0.7043739237993473,53.892471062784495,35.620323844737904,40.025449645556236,0.1120322117121928,0.47563453827829427,0.04426170605086288,4.384273110353824,0.2898108069500722,2.8918735521662953
5,4.352980336171152,5.646856487690809,0.6879604328409789,65.774312321854,40.636385955446585,43.57717535490907,4.14837470902886,5.291238210620203,0.7260250896368321,58.16090874770116,38.686160327265675,40.83284493795993,0.2046056271422918,0.3556182770706062,0.03806465679585325,7.613403574152841,1.9502256281809096,2.74433041694914
