Datetime,HS,ES,PM25,QV,QG,Q,PM25_pred
2025-04-30 06:00:00,3.937241180259828,3.786647502420279,19.0,0.743123485113417,0.0008739963427201637,0.025485038908712468,19.975440609614378
2025-02-18 13:00:00,3.701286909182049,3.839543796623443,33.0,0.7142100818065866,0.0037032328982051638,0.05142845779503749,20.791053854469176
2025-03-27 23:00:00,4.128596476311928,5.2215358858328385,5.0,0.6642692207426432,0.32758623967633843,0.46648199981972943,21.004040626516176
2025-05-21 08:00:00,4.6107146906614265,3.9935822189844705,17.0,0.28225970694762237,0.06977135797331034,0.1403340409696957,21.003190344040128
2025-03-03 06:00:00,4.478533574656502,5.271779802129585,34.0,0.3872762936155503,0.2847085922981885,0.33205555015048804,21.004040620930517
2025-03-25 11:00:00,4.81479862557991,3.72334755119709,24.0,0.15343777225676963,0.00010558527128840512,0.0040250178645093665,17.564703662907696
2025-04-21 21:00:00,4.784473439947989,4.9452357487647545,3.0,0.16955363448852132,0.6621609948926115,0.33506984839071613,21.004040621886244
2025-03-06 15:00:00,4.694183535382824,3.504945793470415,30.0,0.22392412451309224,6.890789117089263e-10,1.2421811141087908e-05,16.784956278678784
2025-04-22 13:00:00,4.526997162304182,3.912750879994306,11.0,0.34734810295200735,0.01835869448812152,0.07985522965419663,20.967428917355946
2025-04-29 08:00:00,4.70488511204381,3.3838191361834107,17.0,0.2169885861879932,7.882626378304412e-15,4.1357465508375335e-08,16.782357624641183
2025-02-20 16:00:00,4.5600220718153475,4.019770260288278,47.0,0.32099593741637156,0.09921745646651725,0.17846120151600947,21.003961382295543
2025-02-10 07:00:00,4.330778304645296,5.308080783351961,36.0,0.5127020340616711,0.25686133479037565,0.36289575475447694,21.004040625697996
2025-05-13 16:00:00,4.395940508038258,4.301183721358486,9.0,0.457358274059987,0.8046626229953634,0.6066457849962706,21.004040626517472
2025-05-14 13:00:00,4.483528975410485,4.056840335996626,11.0,0.38310381439384744,0.15414437084646512,0.24300884024788186,21.00403920029172
2025-05-15 13:00:00,4.734103443508139,3.4088412639557513,11.0,0.19871745072825922,1.207449664975571e-13,1.5490039357814304e-07,16.782381462714515
2025-04-28 11:00:00,4.751259214162383,3.2923049953667403,5.0,0.188449965094787,4.486947390436652e-20,9.195461266896473e-11,16.782348961018304
2025-02-05 17:00:00,5.16374826133762,3.9233275971320305,47.0,0.03848983578933734,0.02238461538268698,0.029352685912657064,20.186941594039972
2025-03-25 08:00:00,4.944573914992342,3.7857744021580038,30.0,0.09646753659735631,0.0008514509066715672,0.009062967036252069,18.37455703859869
2025-05-21 11:00:00,4.100599608087455,4.146803501227575,12.0,0.6807356299994728,0.35295599669725136,0.4901731559090066,21.004040626517174
2025-06-11 17:00:00,4.213590944867807,3.7594376299882897,,0.6063122407585739,0.00037257141265515395,0.015029790685486396,
2025-03-02 22:00:00,4.207728063680998,5.248697565578598,20.0,0.6106423786171741,0.3037629549038562,0.4306861192542338,21.00404062650542
2025-05-18 14:00:00,4.933604799033851,4.210017842359481,6.0,0.10055792017406195,0.534325556285135,0.23179876323199364,21.004037760975695
2025-05-28 05:00:00,4.829792106419269,5.140279172536284,14.0,0.1458699306124582,0.4083942394104527,0.24407465940840803,21.004039291834186
2025-03-12 05:00:00,4.120068360604661,5.313777844244735,21.0,0.6694386118332644,0.25271790187141135,0.4113138964516185,21.004040626477224
2025-04-07 12:00:00,4.717495349523818,3.561790935193655,7.0,0.2089827708542522,3.680075275687485e-08,8.769676892938513e-05,16.800730695386395
2025-06-08 19:00:00,4.482369365635708,3.5438181587896764,11.0,0.3840713865970666,1.1323879323296009e-08,6.594829818392701e-05,16.79617769213084
2025-05-28 07:00:00,4.254933263735046,3.7860197874435726,20.0,0.574654073225355,0.0008577347440515048,0.02220136852574869,19.756051277552313
2025-05-18 16:00:00,4.902942399646266,4.217840530389951,4.0,0.11268127039205379,0.5579253111002918,0.25073438702870954,21.00403974473841
2025-03-02 20:00:00,4.196136327940135,5.240573468966557,15.0,0.6190737170873668,0.3107273966375392,0.4385922530520597,21.004040626510104
2025-04-07 10:00:00,4.0308666803981055,3.69669332820335,11.0,0.7148922998461135,3.747759079405125e-05,0.005176141523900871,17.765840110315047
2025-03-12 07:00:00,3.7218443849885916,4.7749137972270566,17.0,0.7223084218399402,0.9270920662761292,0.8183192575591999,21.004040626517472
2025-04-22 08:00:00,4.934836499717585,3.7634479949498014,10.0,0.10009222709672909,0.0004246099617195462,0.006519214424757501,17.988242606013905
2025-04-28 13:00:00,4.603774894980494,3.3041221388206816,11.0,0.28742703935048725,2.6227201847509976e-19,2.745615955933645e-10,16.782348999356355
2025-05-14 11:00:00,3.9384070983393102,4.102740909496452,10.0,0.7429065316634088,0.24458904357288236,0.4262708036490423,21.004040626501606
2025-05-15 11:00:00,4.852764634618744,3.3686022656338857,11.0,0.13478472443289605,1.3421263590437253e-15,1.3449837599682557e-08,16.782351765484265
2025-05-21 13:00:00,4.618178759439375,4.017592468045225,6.0,0.2767531116028649,0.09648394070615546,0.16340817240926123,21.00383838885942
2025-02-18 08:00:00,3.7882964681577147,3.84574545300647,28.0,0.7415117785718749,0.004312895911810432,0.05655142012683608,20.848773916104825
2025-04-07 09:00:00,3.8714952031033385,3.997867554618741,4.0,0.7496158845520082,0.07409131685068196,0.23566931921369624,21.00403837444618
2025-01-29 17:00:00,5.185227131444616,3.5913105836186547,13.0,0.03485602005275362,2.2059610151518417e-07,8.768752555507844e-05,16.800728761087484
